,EmployerName,MinPositionSalary,MaxPositionSalary,OvertimePay,LumpSumPay,OtherPay,EmployeesRetirementCostCovered,HealthDentalVision,PensionFormula,EmployerURL,EmployerCounty,TotalWages
29663,"State University, East Bay",22879.56,38749.56,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.csueastbay.edu/af/departments/hr/,Alameda,220
116142,"State University, San Marcos",50148,71304,0,0,1820.99,0,23270.64,2.00% @ 62,http://www.csusm.edu/HR/,San Diego,63209.43
64927,"State University, Los Angeles",22879.56,38749.56,0,0,3148.6,0,0,,http://www.calstatela.edu/hrm,Los Angeles,3148.6
72778,"State University, Northridge",85188,150792,0,0,0,0,0,,http://www.csun.edu/hr,Los Angeles,49069.2
101821,"State University, San Francisco",59076,131088,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.sfsu.edu/~hrwww/,San Francisco,7611.18
55759,"State University, Long Beach",59076,131088,0,0,0,0,0,,http://daf.csulb.edu/offices/bhr/,Los Angeles,15516
52539,"State University, Long Beach",44604,78360,0,0,650,0,9237.72,2.00% @ 55,http://daf.csulb.edu/offices/bhr/,Los Angeles,62893.28
33466,"State University, East Bay",28152,66204,0,0,598.78,0,0,,http://www.csueastbay.edu/af/departments/hr/,Alameda,6706.37
91289,"State University, San Diego",28079.4,41432.76,0,0,0,0,0,,http://bfa.sdsu.edu/hr/,San Diego,2008.5
123293,"State University, Stanislaus",22879.56,38749.56,0,0,838.2,0,0,,http://www.csustan.edu/HR/index.html,Stanislaus,838.2
65478,"State University, Monterey Bay",34152,59976,0,0,650,0,23270.64,2.00% @ 55,https://csumb.edu/hr,Monterey ,47822.16
13198,"State Polytech University, San Luis Obispo",22879.56,38749.56,0,0,550,0,0,,http://www.afd.calpoly.edu/hr/,San Luis Obispo,550
65069,"State University, Los Angeles",22879.56,38749.56,0,0,1140,0,0,,http://www.calstatela.edu/hrm,Los Angeles,1140
1641,"State Polytech University, Pomona",22879.56,291194.4,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.cpp.edu/~hr/index.shtml,Los Angeles,766
20536,"State University, Channel Islands",22879.56,38749.56,0,0,2418.75,0,0,,http://www.csuci.edu/hr/employment.htm,Ventura ,2418.75
